soil_ph,soil_moisture,nitrogen,phosphorus,potassium,temperature,humidity,crop,irrigation_mm
7.79,32.37,101,18,75,18.39,40.16,Sugarcane,112.4
6.81,29.84,108,34,102,20.12,44.74,Wheat,49.39
7.04,18.53,124,16,96,35.12,75.7,Cotton,84.64
6.37,33.52,144,10,28,43.78,76.52,Rice,102.15
7.27,32.5,57,67,73,29.97,90.55,Maize,45.94
7.25,36.92,143,11,41,22.25,63.13,Cotton,55.86
8.44,27.51,69,56,12,32.12,79.45,Rice,87.05
5.95,38.59,105,30,115,27.57,80.92,Sugarcane,122.4
5.5,53.58,20,57,12,22.99,62.32,Cotton,43.88
6.76,19.59,137,66,31,21.21,72.51,Rice,94.06
7.57,38.25,145,52,146,22.26,48.1,Cotton,60.88
8.19,41.81,64,17,60,37.17,42.86,Cotton,64.99
7.73,44.28,49,58,18,44.87,46.42,Wheat,60.03
6.81,36.01,89,10,59,21.6,48.33,Cotton,57.5
8.12,45.25,31,51,33,15.09,46.12,Sugarcane,114.06
8.28,56.61,22,48,105,17.74,63.4,Cotton,41.52
7.93,16.75,135,31,5,44.34,94.63,Rice,104.34
7.17,18.51,12,55,83,33.26,90.25,Wheat,68.55
7.86,15.82,69,26,129,42.69,87.46,Maize,63.92
6.86,52.86,48,73,52,27.42,61.42,Rice,77.69
5.99,34.46,128,41,138,18.23,61.69,Cotton,54.25
7.59,36.49,30,35,29,42.29,31.17,Rice,112.31
7.12,26.19,70,18,72,43.68,77.72,Wheat,65.02
7.49,50.85,39,11,40,30.41,82.2,Maize,23.22
5.79,55.73,116,53,25,20.01,94.53,Sugarcane,92.28
7.19,27.83,36,57,56,41.92,72.65,Wheat,62.56
7.13,55.95,142,79,84,28.32,41.36,Maize,39.07
6.1,24.04,52,73,141,16.85,47.55,Wheat,62.47
6.16,33.18,72,59,38,37.88,63.35,Wheat,60.69
7.51,52.37,12,8,92,42.22,78.12,Rice,93.16
6.54,36.03,140,30,30,40.84,40.05,Maize,65.47
6.85,30.4,132,60,78,41.32,57.18,Wheat,62.56
8.35,57.92,36,33,19,34.32,36.64,Wheat,44.01
8.03,39.12,12,22,56,40.02,81.98,Sugarcane,115.94
6.79,33.36,31,37,132,44.35,82.65,Cotton,63.81
7.17,57.35,148,28,81,27.54,65.53,Cotton,46.76
6.42,56.36,10,64,144,34.54,79.92,Wheat,53.29
8.38,34.98,34,8,120,21.11,40.12,Sugarcane,125.06
6.74,11.78,17,14,33,20.32,46.39,Sugarcane,145.61
7.93,57.36,19,51,8,31.38,32.23,Cotton,55.95
7.28,17.42,96,24,17,39.24,41.45,Cotton,78.76
7.32,26.85,37,8,26,17.61,44.49,Sugarcane,127.85
7.47,23.19,83,71,80,32.2,90.31,Cotton,62.08
7.99,26.15,117,41,95,40.91,73.81,Maize,56.23
7.02,45.86,57,23,37,15.95,46.8,Sugarcane,108.84
8.2,51.18,97,25,134,21.6,55.25,Maize,33.81
6.71,20.74,148,17,95,37.3,46.38,Cotton,84.46
6.86,29.29,80,32,134,17.4,35.84,Rice,107.75
6.76,31.59,139,65,119,15.92,70.14,Rice,97.95
7.78,34.04,92,6,82,39.96,53.48,Sugarcane,128.88
7.72,30.88,56,25,96,22.6,46.18,Cotton,61.75
7.27,13.51,86,50,141,20.1,46.56,Maize,61.23
6.73,57.39,62,20,94,18.33,48.11,Maize,20.0
7.81,27.56,61,30,57,34.77,66.82,Cotton,68.77
7.7,14.39,105,62,9,43.94,63.1,Wheat,58.15
7.38,27.82,29,70,115,29.51,40.26,Wheat,64.06
6.52,17.35,127,76,92,23.46,44.22,Sugarcane,146.37
7.07,17.77,54,75,84,17.61,32.37,Sugarcane,130.7
5.76,47.97,16,36,28,44.78,38.27,Wheat,61.02
5.72,53.93,83,79,36,24.87,55.44,Wheat,36.98
6.73,46.02,71,22,131,35.0,50.07,Cotton,55.51
6.38,49.91,58,45,120,23.97,66.39,Maize,30.39
7.04,59.61,41,25,14,42.6,60.57,Rice,82.04
5.59,44.49,55,12,123,27.6,69.52,Sugarcane,115.44
6.22,51.78,55,50,18,39.98,43.05,Sugarcane,116.39
6.86,44.59,86,51,118,15.13,90.1,Cotton,41.19
6.14,39.26,115,37,101,24.59,82.68,Cotton,48.38
7.57,46.24,117,19,8,17.99,47.71,Rice,83.89
5.92,26.1,87,37,91,30.82,51.13,Cotton,73.81
5.97,26.93,141,54,119,30.94,86.67,Wheat,52.73
5.94,31.41,64,60,18,39.15,31.27,Cotton,79.09
7.99,17.21,70,16,17,32.13,64.26,Rice,108.49
7.98,17.88,96,18,138,40.42,53.2,Rice,110.86
5.82,31.04,112,10,67,21.18,39.59,Sugarcane,123.69
7.77,58.22,66,50,26,39.3,47.3,Cotton,62.68
6.15,51.27,22,32,88,23.34,55.91,Sugarcane,114.84
7.82,53.76,95,9,91,38.55,42.48,Rice,86.05
7.42,42.73,98,13,111,31.48,74.1,Sugarcane,110.19
6.3,18.41,109,11,140,24.98,79.07,Cotton,79.09
7.45,41.87,20,35,16,35.9,54.44,Rice,86.6
6.11,27.02,96,32,20,17.9,91.86,Wheat,52.55
7.87,28.7,67,41,83,22.52,74.83,Maize,44.91
7.1,30.12,68,73,106,42.83,59.79,Wheat,69.81
7.48,55.72,15,27,142,23.18,86.65,Maize,20.0
7.05,29.1,71,11,116,27.77,52.63,Maize,49.47
7.63,28.19,18,65,24,30.62,55.47,Rice,109.97
7.4,59.23,17,25,26,27.74,57.11,Maize,31.47
7.49,34.49,103,30,38,42.83,50.0,Rice,105.59
7.63,24.78,108,43,147,40.58,80.37,Rice,101.97
6.68,35.22,79,70,145,42.91,53.7,Sugarcane,129.6
7.04,15.34,124,68,38,38.53,79.61,Wheat,72.07
7.67,20.23,96,49,118,37.43,58.67,Wheat,72.84
8.06,50.12,30,28,132,16.04,36.63,Sugarcane,121.03
7.3,53.69,125,64,61,17.59,90.88,Wheat,37.21
7.88,26.22,51,27,74,25.53,90.48,Rice,84.3
7.9,31.64,130,64,97,39.08,45.53,Wheat,64.97
7.19,30.11,145,59,112,22.52,55.85,Rice,94.56
6.78,54.01,20,14,116,33.03,76.14,Wheat,40.88
6.31,48.83,106,47,52,29.44,70.13,Rice,91.94
6.71,19.92,78,78,118,20.11,71.14,Rice,101.24
5.69,51.71,122,46,46,39.55,71.66,Sugarcane,101.85
6.43,42.81,56,9,53,22.2,66.2,Rice,80.06
6.99,23.85,132,76,69,18.96,47.28,Wheat,58.11
6.82,11.51,71,21,24,21.0,45.07,Wheat,72.79
5.52,31.47,114,30,38,28.78,94.47,Rice,97.48
6.18,25.54,10,51,8,15.47,90.7,Wheat,52.35
5.78,46.94,76,50,78,43.37,58.79,Wheat,54.74
7.3,33.82,140,71,130,42.8,54.4,Rice,104.22
7.89,10.19,41,79,116,24.54,59.34,Sugarcane,133.0
6.24,49.49,108,72,37,23.74,83.48,Rice,78.61
7.06,32.42,50,29,110,17.96,79.24,Wheat,33.38
6.17,12.78,116,44,138,33.75,52.01,Rice,113.0
5.54,52.05,56,32,129,28.51,42.96,Rice,81.35
6.42,12.12,133,27,115,24.12,80.1,Sugarcane,129.41
6.01,48.74,125,19,7,24.92,41.61,Sugarcane,113.68
7.8,49.32,142,73,68,24.54,44.28,Wheat,52.07
6.17,13.83,65,8,52,31.24,31.54,Cotton,90.38
5.74,30.9,47,66,125,43.04,84.66,Wheat,64.76
6.9,41.32,123,17,25,28.34,73.45,Cotton,65.75
7.39,10.89,76,52,40,38.74,46.81,Wheat,75.95
6.04,48.28,75,16,26,19.94,52.84,Wheat,42.68
6.29,27.49,148,5,46,31.66,36.5,Wheat,63.61
7.45,46.27,100,20,70,44.68,60.05,Cotton,69.37
5.72,58.87,124,11,54,25.13,82.63,Maize,27.51
6.82,45.82,142,64,121,32.71,75.19,Maize,39.79
6.53,44.69,98,13,135,16.75,94.9,Rice,79.3
7.45,52.81,121,79,108,41.29,43.11,Maize,42.91
5.73,49.41,117,26,12,37.05,42.26,Maize,42.38
7.63,12.5,69,54,115,39.27,45.94,Maize,62.8
7.35,32.16,48,44,46,16.5,86.79,Wheat,46.18
7.59,30.47,109,67,53,20.35,94.12,Cotton,57.07
7.65,40.73,80,11,84,22.98,60.04,Maize,41.84
8.5,21.77,100,31,117,18.87,64.22,Cotton,69.81
6.69,19.02,12,32,85,24.36,30.82,Sugarcane,138.84
5.66,39.83,98,58,24,37.62,37.18,Rice,96.89
6.9,13.54,12,6,20,19.25,84.22,Rice,93.78
8.45,11.52,69,63,62,16.79,47.77,Maize,66.17
8.27,27.71,63,49,90,36.77,44.94,Maize,53.24
6.93,12.23,114,36,18,24.56,59.16,Wheat,62.69
7.38,17.32,100,64,64,35.2,83.64,Maize,56.34
6.84,32.33,99,8,13,36.47,76.9,Wheat,53.67
6.35,51.77,25,26,76,18.63,40.97,Rice,87.29
7.44,29.82,74,13,86,18.18,37.3,Rice,90.57
6.37,40.71,57,39,91,17.47,30.18,Wheat,53.14
7.41,24.8,78,49,10,39.96,67.17,Cotton,61.05
7.25,20.49,116,43,122,21.44,63.58,Cotton,73.51
8.29,28.9,47,19,11,15.76,32.56,Maize,57.83
7.26,13.08,86,52,86,35.95,70.55,Wheat,70.44
7.66,36.47,125,17,51,43.17,73.66,Cotton,60.18
5.72,33.03,53,32,6,44.67,91.69,Cotton,71.49
6.76,32.04,82,13,52,32.79,42.14,Cotton,70.24
6.54,27.4,142,44,23,18.47,91.51,Rice,93.88
7.44,51.34,103,9,89,41.45,84.52,Sugarcane,120.48
7.25,22.44,103,66,95,25.21,70.35,Sugarcane,130.26
7.97,30.11,20,59,6,21.19,74.68,Rice,97.42
6.56,45.65,39,14,66,23.23,65.59,Rice,82.43
6.57,49.55,83,70,10,37.17,55.8,Sugarcane,112.9
6.29,28.77,131,25,66,16.65,42.18,Sugarcane,128.3
7.86,21.39,70,45,137,39.83,31.47,Rice,119.12
6.23,17.63,17,49,92,27.13,59.22,Maize,51.48
6.0,56.07,133,25,98,17.15,55.33,Maize,31.66
7.72,29.32,28,18,85,16.43,55.06,Rice,97.46
5.82,43.24,96,78,71,39.02,89.69,Rice,83.16
7.31,50.15,33,21,44,24.65,38.59,Rice,94.56
7.85,36.54,16,57,27,30.34,92.04,Maize,32.75
6.94,44.96,33,51,43,34.25,83.12,Rice,77.57
6.29,11.96,53,37,64,26.78,67.55,Wheat,70.8
7.05,44.29,35,25,124,19.22,63.36,Rice,80.61
6.48,46.08,141,18,24,15.62,92.55,Maize,38.11
6.89,30.63,140,5,94,23.24,37.11,Sugarcane,124.04
7.8,20.35,49,72,55,30.96,82.59,Cotton,77.27
7.84,20.75,61,15,146,20.18,30.17,Sugarcane,127.26
7.16,19.4,146,21,132,21.79,61.25,Maize,49.47
7.0,20.75,45,75,104,33.87,81.55,Maize,52.99
7.84,23.03,131,61,30,20.58,38.17,Cotton,68.94
5.92,47.41,143,23,22,36.8,63.15,Rice,81.97
7.8,31.26,89,67,46,25.47,73.57,Wheat,61.68
7.43,56.55,85,41,136,25.25,80.67,Rice,75.71
6.24,13.98,26,20,13,32.27,90.14,Wheat,65.3
5.94,58.54,50,19,70,25.66,83.33,Cotton,41.76
7.97,23.57,126,23,75,28.95,64.94,Sugarcane,123.42
8.49,29.96,132,41,141,35.87,90.96,Sugarcane,132.9
5.77,20.56,41,5,21,17.36,79.59,Maize,47.85
7.25,11.91,18,34,88,32.19,90.17,Cotton,71.23
8.29,49.24,141,72,29,38.69,78.02,Rice,94.4
7.38,59.32,52,61,146,15.96,35.41,Sugarcane,111.17
7.79,11.11,99,8,110,25.59,71.36,Rice,106.33
7.75,43.93,25,23,120,41.47,67.37,Wheat,44.05
5.54,22.46,37,69,9,44.87,37.73,Rice,108.43
5.54,54.5,95,68,36,44.89,81.17,Sugarcane,119.64
7.54,49.5,126,59,75,42.12,64.29,Cotton,57.63
7.71,51.93,88,42,146,29.5,51.84,Cotton,53.49
6.6,37.98,15,41,146,25.05,32.24,Sugarcane,121.47
6.36,48.42,27,61,87,32.39,41.17,Cotton,60.69
6.76,48.93,97,70,108,31.97,53.75,Wheat,39.18
8.31,12.75,89,17,35,39.12,41.96,Rice,123.57
5.75,50.59,37,56,20,44.07,67.26,Maize,33.83
6.16,53.11,18,51,55,27.34,90.45,Rice,77.07
8.23,41.53,71,60,27,42.25,36.3,Sugarcane,130.1
7.32,32.57,87,26,112,21.36,31.92,Sugarcane,120.96
8.11,40.25,100,20,102,44.99,84.29,Maize,40.46
8.18,51.16,112,27,34,33.6,35.38,Cotton,63.19
6.1,13.99,33,17,83,27.82,38.76,Wheat,78.41
8.24,33.51,120,30,51,25.61,81.82,Sugarcane,111.05
7.67,50.08,50,56,86,32.12,61.48,Maize,32.54
7.15,34.59,126,70,65,24.11,51.89,Wheat,61.17
8.3,47.5,107,39,35,33.48,38.08,Rice,93.78
7.24,43.26,127,52,51,16.0,83.03,Maize,20.0
6.91,50.94,133,21,18,41.93,91.54,Cotton,50.06
6.69,20.86,105,40,118,20.28,69.47,Maize,55.18
5.6,42.19,53,72,52,37.89,75.73,Rice,90.12
7.29,34.49,20,35,143,27.51,66.41,Maize,45.98
7.31,47.46,17,64,76,15.36,32.23,Rice,86.11
7.61,23.95,73,6,113,43.08,92.36,Rice,98.72
7.81,53.34,47,65,85,19.22,44.62,Wheat,36.36
7.17,48.2,55,76,129,15.03,79.21,Wheat,40.98
6.73,36.25,43,58,149,31.11,77.3,Cotton,61.16
5.86,40.43,25,17,24,30.11,88.11,Wheat,39.04
8.45,23.71,36,11,135,22.78,89.07,Rice,99.59
5.56,27.4,33,19,99,15.96,69.8,Sugarcane,120.09
7.77,21.35,49,43,36,26.16,85.06,Cotton,76.69
7.98,29.14,83,67,21,24.08,47.47,Wheat,71.46
6.97,30.4,95,56,27,30.36,50.78,Rice,104.25
6.0,23.14,96,19,127,33.75,46.42,Wheat,73.93
8.25,57.91,36,6,101,35.49,71.83,Cotton,53.34
5.55,53.06,135,60,60,33.02,74.32,Sugarcane,107.66
5.62,10.72,97,50,92,24.22,48.72,Rice,123.49
8.25,53.39,102,24,82,41.82,87.73,Maize,32.52
6.94,18.87,62,42,56,29.7,65.02,Rice,106.39
6.27,28.31,44,21,103,31.61,70.05,Maize,36.89
8.25,16.28,61,5,70,29.94,59.75,Maize,55.8
7.06,17.0,103,55,19,37.88,57.78,Sugarcane,148.75
7.54,33.53,117,21,139,41.73,51.65,Wheat,66.82
5.94,14.83,73,17,116,30.6,74.2,Maize,56.62
7.73,59.29,28,27,119,36.5,68.87,Sugarcane,105.06
6.14,52.56,121,73,76,38.66,40.87,Cotton,60.89
8.43,26.56,81,11,70,41.72,93.47,Rice,97.96
7.6,35.12,93,37,33,17.74,74.13,Maize,46.74
7.87,19.69,117,24,41,32.67,72.1,Wheat,66.86
6.86,58.43,92,22,124,39.94,47.85,Sugarcane,108.21
6.93,25.91,15,29,13,19.8,81.18,Maize,44.72
8.45,11.0,94,28,48,27.09,90.79,Sugarcane,135.14
7.0,53.67,90,17,75,30.43,76.37,Wheat,38.46
8.28,14.42,110,16,98,26.53,58.1,Maize,58.71
7.37,51.51,10,62,83,28.68,78.67,Maize,33.77
7.5,59.57,81,73,10,17.96,70.24,Sugarcane,101.8
5.52,25.83,21,70,57,44.35,86.82,Rice,96.5
6.58,12.27,16,19,143,39.62,38.32,Sugarcane,151.94
6.21,55.41,99,16,86,23.44,91.97,Rice,73.48
5.66,45.46,116,28,112,17.41,81.36,Maize,35.56
6.26,31.12,111,64,107,16.79,82.81,Sugarcane,116.65
6.4,37.54,69,17,34,35.82,40.82,Maize,46.44
6.75,27.52,39,42,62,31.97,39.23,Maize,59.62
7.61,55.25,107,20,92,21.81,30.52,Rice,99.99
6.1,24.23,34,7,73,38.59,54.5,Cotton,73.52
5.8,41.69,129,23,39,41.03,30.14,Sugarcane,137.01
6.6,40.08,133,25,96,44.12,66.07,Cotton,64.2
6.05,16.56,52,51,103,20.35,63.35,Maize,56.67
7.87,45.4,121,47,25,15.58,83.64,Sugarcane,110.89
5.93,25.48,14,77,121,34.39,65.45,Rice,113.86
7.01,34.59,47,48,79,19.59,47.5,Sugarcane,124.52
7.27,40.51,56,45,24,43.51,34.71,Sugarcane,127.51
7.16,29.14,32,40,95,31.09,47.86,Cotton,69.4
6.94,47.29,62,42,47,40.41,54.47,Wheat,55.35
8.5,43.52,129,28,30,28.68,52.39,Cotton,58.87
7.58,47.98,105,10,102,19.62,47.24,Wheat,48.12
8.34,12.41,95,22,16,43.57,84.27,Sugarcane,134.76
8.21,50.72,86,58,106,15.61,64.06,Maize,44.81
8.42,55.57,63,7,115,20.37,36.71,Rice,85.29
5.66,31.8,55,60,87,21.25,60.02,Cotton,62.91
7.0,57.93,16,33,73,16.48,85.17,Wheat,32.14
5.53,56.86,51,17,22,22.39,30.59,Cotton,50.38
7.34,18.33,107,49,27,16.05,32.42,Cotton,75.16
5.58,46.96,120,64,77,27.95,59.44,Maize,45.63
6.32,16.08,35,53,67,35.95,80.72,Cotton,77.54
6.49,26.11,18,74,30,43.24,68.94,Rice,105.81
8.09,32.27,100,34,42,37.45,79.32,Maize,45.86
8.36,12.71,121,64,25,24.92,35.87,Rice,109.38
5.81,40.62,122,77,133,24.62,72.82,Cotton,70.34
7.37,34.73,92,59,114,27.06,67.42,Maize,50.62
7.03,15.24,43,37,96,32.1,51.74,Rice,114.36
5.53,19.52,47,49,45,36.15,85.27,Wheat,67.47
7.27,41.5,47,12,25,23.15,59.2,Sugarcane,117.8
7.46,52.81,93,35,75,41.83,30.64,Wheat,52.35
5.98,26.05,108,10,72,33.78,56.59,Wheat,74.0
6.26,52.99,39,6,62,29.22,42.59,Maize,39.16
8.23,30.19,107,47,129,43.89,31.57,Wheat,64.54
6.42,43.31,72,23,95,42.91,68.62,Rice,90.95
6.14,55.56,27,39,82,23.72,69.96,Rice,82.97
8.21,58.11,26,68,16,30.74,66.08,Cotton,44.26
6.6,28.2,101,58,35,37.52,47.26,Wheat,69.4
7.22,54.72,131,32,90,17.22,87.94,Sugarcane,103.21
7.98,52.22,16,56,56,31.23,47.85,Maize,37.28
7.69,51.63,131,14,21,41.46,58.89,Cotton,53.38
5.51,22.26,18,27,77,21.45,43.3,Rice,105.64
6.04,10.7,16,67,88,32.02,91.8,Cotton,75.96
6.56,17.15,121,66,12,17.14,81.91,Cotton,68.67
6.23,46.27,115,6,95,20.79,87.38,Rice,87.26
6.61,19.22,140,5,21,44.46,36.26,Cotton,86.22
7.27,41.32,100,54,93,44.18,32.44,Rice,97.83
5.53,22.12,87,69,110,30.27,87.71,Rice,95.96
7.58,29.73,49,69,131,44.43,65.93,Wheat,64.13
5.94,49.93,22,28,143,19.35,61.99,Rice,78.76
6.68,40.57,106,12,60,28.55,67.67,Cotton,57.88
6.78,40.31,39,30,129,37.52,52.04,Maize,46.22
7.63,12.39,114,68,128,33.92,68.19,Maize,59.94
7.29,33.62,127,9,41,15.07,87.77,Sugarcane,103.97
6.31,43.4,25,24,81,28.28,62.1,Wheat,47.56
6.45,28.04,51,50,77,15.26,76.55,Sugarcane,111.34
6.53,49.33,70,68,73,36.22,73.66,Rice,88.17
6.26,10.93,14,26,74,30.77,91.57,Cotton,71.12
7.29,42.89,40,16,112,24.03,65.06,Rice,83.07
6.57,22.81,105,76,24,34.99,38.76,Wheat,75.7
6.72,15.34,146,30,106,30.22,52.3,Maize,67.93
5.63,38.35,143,19,76,40.64,60.64,Cotton,68.44
8.11,24.58,89,11,139,41.67,90.96,Rice,101.28
6.62,41.29,14,68,9,36.26,38.74,Rice,94.48
7.94,40.31,65,21,21,27.97,83.09,Cotton,53.51
7.44,52.3,59,62,22,33.67,68.04,Cotton,50.32
6.34,55.51,94,7,87,40.01,56.33,Rice,94.62
6.72,20.53,60,23,124,23.54,83.25,Rice,88.36
5.74,52.77,107,34,92,33.37,39.94,Wheat,46.5
7.04,39.44,125,8,8,27.35,60.8,Rice,87.36
6.74,52.11,84,59,79,28.01,82.45,Rice,73.13
7.36,36.78,19,75,54,34.29,60.23,Wheat,51.65
8.41,43.93,40,24,118,40.03,57.32,Wheat,58.91
8.09,28.58,17,44,63,27.63,93.0,Sugarcane,123.5
5.67,39.57,115,40,49,33.67,73.01,Wheat,45.61
6.52,44.01,59,39,126,21.68,94.98,Maize,23.03
6.01,48.58,101,29,79,43.37,90.17,Maize,33.73
7.99,43.05,86,9,24,41.91,90.2,Cotton,52.82
6.64,18.68,37,78,85,43.4,46.03,Maize,71.06
6.84,56.88,61,40,82,32.08,75.02,Rice,82.2
7.28,53.93,70,44,8,18.92,67.14,Maize,30.26
5.71,44.45,24,11,76,42.8,75.41,Maize,37.76
6.27,38.2,66,23,131,21.67,65.41,Sugarcane,117.86
8.13,29.76,19,25,33,42.94,55.86,Maize,53.62
8.36,45.14,141,71,89,16.02,84.76,Cotton,43.36
7.62,34.46,74,43,113,27.54,35.57,Maize,49.4
5.78,23.37,39,48,56,22.78,37.95,Sugarcane,134.86
6.43,34.52,127,36,12,38.02,78.71,Rice,98.73
7.12,53.29,136,78,130,32.98,90.91,Maize,30.32
7.76,14.45,134,26,19,16.0,35.92,Rice,105.1
5.65,26.74,111,70,117,23.03,89.25,Rice,90.39
6.4,36.56,92,13,81,39.57,94.75,Sugarcane,120.63
6.49,29.08,18,40,121,42.15,66.4,Maize,63.48
8.36,49.73,55,19,19,24.44,75.51,Wheat,36.39
7.98,46.57,72,72,148,41.25,79.83,Sugarcane,124.67
5.81,49.47,140,32,78,41.93,63.76,Sugarcane,115.43
6.9,53.04,149,61,48,41.3,90.33,Wheat,49.47
6.82,47.3,120,55,25,34.03,31.18,Wheat,55.19
7.67,51.78,85,62,82,40.54,80.42,Sugarcane,108.95
7.54,38.16,11,60,100,44.58,79.86,Maize,39.21
8.33,20.81,137,41,59,35.12,60.5,Wheat,71.89
8.06,11.12,29,47,51,27.47,84.08,Rice,104.48
6.43,57.15,54,72,91,24.74,84.26,Sugarcane,99.29
7.1,13.08,60,62,19,33.67,43.69,Maize,71.31
6.52,38.08,51,15,122,23.21,41.36,Wheat,49.14
7.4,38.45,99,12,140,22.13,64.8,Rice,85.95
8.26,44.29,131,66,112,25.55,34.09,Wheat,46.5
7.21,46.98,14,54,28,43.23,44.76,Maize,47.78
6.67,40.32,95,50,73,42.46,80.48,Rice,87.61
7.63,43.06,118,31,117,27.97,73.42,Wheat,44.72
6.79,32.06,26,65,54,18.06,62.08,Sugarcane,116.97
6.39,52.1,111,33,115,26.82,49.39,Sugarcane,119.01
7.47,51.73,54,71,55,30.31,64.39,Sugarcane,112.51
6.34,21.55,142,13,32,25.3,73.44,Rice,105.61
6.18,25.87,126,25,50,40.57,66.0,Wheat,67.68
8.21,26.43,10,36,140,23.24,47.75,Wheat,62.76
6.41,40.62,88,40,59,21.24,51.05,Sugarcane,124.17
7.1,47.96,121,31,49,28.09,32.87,Wheat,52.63
6.23,48.28,119,55,50,43.97,30.54,Sugarcane,126.57
8.34,27.12,61,26,57,24.54,66.0,Sugarcane,129.04
7.69,12.12,73,13,117,24.26,56.66,Cotton,75.82
5.62,46.23,98,53,140,44.63,60.77,Rice,91.72
7.91,46.83,110,20,44,43.55,91.41,Sugarcane,118.83
6.86,27.81,90,70,117,32.37,45.07,Cotton,81.23
5.64,57.26,43,59,63,18.44,84.4,Rice,66.66
7.2,25.63,68,22,99,37.29,89.6,Maize,51.63
8.05,35.5,25,16,79,25.89,91.85,Cotton,58.42
6.68,10.22,88,55,95,38.98,38.67,Sugarcane,149.56
5.83,56.1,120,76,62,38.08,57.88,Wheat,41.09
6.23,46.45,126,30,140,42.99,45.72,Wheat,62.18
7.89,31.65,149,53,146,37.33,60.35,Maize,47.32
6.78,47.77,27,26,87,36.74,52.74,Maize,37.64
6.44,39.91,40,70,57,20.09,72.41,Rice,92.08
6.26,48.18,140,24,129,31.36,39.57,Maize,43.42
6.86,54.06,46,62,9,29.66,87.85,Rice,74.07
7.87,14.97,87,45,149,17.64,74.4,Cotton,75.76
7.24,39.73,21,7,83,37.88,46.69,Cotton,77.18
5.74,39.73,77,33,64,24.9,82.53,Rice,83.11
5.89,58.15,74,68,83,27.79,51.6,Sugarcane,108.32
8.38,41.65,97,28,135,41.88,56.95,Maize,42.83
5.55,53.09,38,78,36,23.33,63.95,Wheat,48.96
6.59,21.53,86,43,32,24.58,55.51,Maize,49.18
6.34,56.57,126,59,14,21.37,85.74,Cotton,37.32
7.33,46.31,111,17,19,27.53,47.1,Rice,92.04
5.71,37.11,141,56,142,32.21,91.31,Sugarcane,123.39
8.4,49.94,147,34,129,29.69,37.26,Wheat,55.04
6.88,44.85,116,19,40,41.39,53.09,Wheat,59.07
7.36,10.18,119,71,75,19.23,76.11,Sugarcane,116.55
8.06,44.29,54,20,35,17.08,67.08,Rice,80.21
8.02,37.78,58,48,14,17.51,88.58,Cotton,54.3
5.88,29.65,13,43,28,36.24,84.13,Wheat,57.85
6.94,32.53,142,72,10,40.96,66.81,Rice,99.11
7.64,52.1,23,59,141,31.94,85.96,Maize,28.44
8.05,30.7,67,10,8,18.33,52.34,Rice,95.95
7.28,19.41,56,50,62,30.62,77.07,Sugarcane,131.41
8.21,16.39,61,18,34,15.7,53.1,Wheat,63.66
7.72,35.5,136,56,146,16.34,80.99,Sugarcane,113.97
8.2,26.81,122,73,120,37.77,47.28,Maize,66.86
5.95,45.04,79,59,20,18.88,50.69,Rice,86.49
8.17,41.79,95,35,7,17.63,84.5,Rice,79.57
8.07,51.55,108,43,68,24.21,55.9,Wheat,37.06
7.96,13.5,104,62,50,17.14,79.44,Wheat,66.69
6.96,27.14,25,22,140,42.32,76.52,Rice,100.91
6.64,40.69,47,49,85,18.68,83.46,Maize,35.95
7.01,54.28,83,78,118,39.44,53.35,Rice,83.4
6.02,54.48,59,33,85,44.96,54.17,Sugarcane,119.71
6.4,52.92,69,62,49,16.31,49.85,Sugarcane,110.69
5.73,11.42,10,61,149,26.9,57.04,Sugarcane,141.87
6.02,15.79,12,44,93,17.41,87.65,Sugarcane,131.54
6.35,50.65,111,48,29,17.94,59.05,Wheat,36.08
7.7,18.66,46,28,30,41.55,32.92,Rice,109.35
8.45,37.85,96,19,98,34.08,91.72,Cotton,71.15
8.49,28.76,107,38,104,15.48,64.9,Sugarcane,112.84
6.31,42.6,126,41,30,37.6,79.45,Cotton,64.72
5.68,10.94,36,35,110,22.93,38.45,Maize,50.85
7.6,55.21,28,8,81,33.7,71.89,Rice,79.99
7.64,24.63,58,69,87,44.83,32.49,Wheat,81.89
7.25,56.79,89,22,58,40.17,89.13,Wheat,36.35
7.03,44.71,116,47,55,34.18,59.09,Maize,46.87
8.18,57.79,116,73,84,18.31,45.57,Rice,82.71
6.16,59.34,147,9,120,31.37,85.77,Cotton,37.96
7.18,45.74,101,61,112,41.1,67.63,Wheat,56.05
6.79,42.08,118,21,104,44.76,41.89,Sugarcane,135.46
6.18,33.84,134,72,149,20.31,53.64,Sugarcane,123.28
6.62,59.66,13,42,67,30.82,40.42,Rice,87.45
8.4,25.01,55,48,12,39.49,44.43,Rice,114.69
6.53,48.67,109,65,116,27.91,68.13,Maize,31.9
6.23,22.17,31,43,62,38.61,60.02,Sugarcane,139.22
8.5,51.95,103,30,75,32.66,80.6,Wheat,40.73
8.16,43.53,72,44,88,15.92,93.04,Maize,26.48
8.27,56.76,137,36,49,37.73,66.63,Cotton,52.47
6.57,49.61,129,65,5,15.44,82.59,Wheat,29.74
8.32,49.47,100,8,27,36.8,75.6,Rice,83.11
6.92,33.39,34,27,133,41.59,47.87,Sugarcane,142.53
5.92,15.99,13,72,139,18.57,85.23,Maize,59.21
7.3,27.5,64,13,21,22.22,59.93,Rice,93.63
6.94,38.04,16,30,28,34.89,64.24,Sugarcane,123.47
